timestamp,day,sku,action,qty,unit_price,total,cash_after
2025-12-19T22:10:01,1,A120,BUY,10,4.26,42.60,57.40
2025-12-19T22:17:07,3,A180,BUY,3,12.91,38.73,18.67
2025-12-19T22:17:13,3,A180,BUY,1,12.91,12.91,5.75
2025-12-19T22:18:18,3,A120,BUY,1,4.24,4.24,1.52
2025-12-19T22:20:54,6,A180,SELL,4,14.15,56.60,58.12
2025-12-19T22:22:20,6,A150,BUY,3,15.66,46.97,11.15
2025-12-19T22:23:08,6,A230,BUY,2,3.86,7.73,3.42
2025-12-19T22:23:33,7,A150,SELL,3,16.83,50.48,53.91
2025-12-19T22:25:01,8,A210,BUY,1,19.80,19.80,34.10
2025-12-19T22:25:14,9,A180,BUY,1,12.38,12.38,21.73
2025-12-19T22:25:27,10,A200,BUY,1,20.98,20.98,0.75
2025-12-19T22:27:56,12,A180,SELL,1,16.02,16.02,16.77
2025-12-19T22:36:43,12,A100,BUY,1,9.50,9.50,7.27
2025-12-19T22:37:13,12,A200,SELL,1,21.25,21.25,28.52
2025-12-19T22:37:17,12,A210,SELL,1,20.27,20.27,48.79
2025-12-19T22:37:31,13,A110,BUY,3,8.43,25.30,23.49
2025-12-19T22:37:39,13,A140,BUY,2,9.41,18.82,4.67
2025-12-19T22:41:26,16,A140,SELL,2,10.84,21.68,26.35
2025-12-19T22:41:33,16,A120,SELL,6,4.95,29.71,56.05
2025-12-19T22:41:55,16,A150,BUY,3,15.01,45.03,11.03
2025-12-19T22:42:48,17,A100,SELL,1,10.46,10.46,21.48
2025-12-19T22:42:56,17,A230,SELL,2,4.01,8.01,29.49
2025-12-19T22:43:25,17,A160,BUY,4,5.99,23.96,5.54
2025-12-19T22:43:44,18,A120,SELL,5,6.25,31.27,36.81
2025-12-19T22:43:53,18,A150,SELL,1,16.71,16.71,53.51
2025-12-19T22:46:26,18,A160,BUY,2,5.14,10.28,43.24
2025-12-19T22:46:34,18,A190,BUY,2,7.80,15.59,27.64
2025-12-19T22:47:01,18,A110,BUY,3,6.61,19.83,7.81
2025-12-19T22:47:05,18,A110,BUY,1,6.61,6.61,1.20
2025-12-19T22:47:19,18,A150,SELL,1,16.71,16.71,17.90
2025-12-19T22:47:34,19,A150,SELL,1,18.91,18.91,36.81
2025-12-19T22:48:03,21,A110,BUY,2,7.95,15.90,20.91
2025-12-19T22:48:27,21,A220,BUY,2,10.29,20.58,0.34
2025-12-19T22:48:46,22,A110,SELL,5,8.32,41.60,41.93
2025-12-19T22:49:10,23,A110,SELL,4,9.53,38.10,80.04
2025-12-19T22:49:51,24,A190,BUY,5,6.69,33.45,46.58
2025-12-19T22:50:05,24,A230,BUY,5,2.70,13.51,33.07
2025-12-19T22:50:17,24,A130,BUY,2,9.60,19.20,13.87
2025-12-19T22:51:57,28,A130,SELL,2,10.33,20.67,34.54
2025-12-19T22:52:16,28,A220,SELL,2,11.49,22.98,57.52
2025-12-19T22:52:26,29,A230,SELL,5,3.22,16.09,73.60
2025-12-19T22:52:29,30,,BILL,1,100.00,100.00,-26.40
2025-12-19T22:53:26,33,A160,SELL,3,6.42,19.26,-7.13
2025-12-19T22:53:33,33,A160,SELL,3,6.42,19.26,12.13
2025-12-19T22:53:58,33,A230,BUY,3,2.81,8.42,3.71
2025-12-19T22:54:04,33,A230,BUY,1,2.81,2.81,0.90
2025-12-19T22:54:30,38,A230,SELL,4,3.30,13.19,14.09
2025-12-19T22:54:47,42,A190,SELL,4,7.16,28.65,42.74
2025-12-19T22:55:07,42,A200,BUY,1,19.73,19.73,23.01
2025-12-19T22:55:20,42,A160,BUY,1,4.27,4.27,18.74
2025-12-19T22:55:35,42,A120,BUY,2,3.58,7.16,11.58
2025-12-19T22:55:42,42,A120,BUY,2,3.58,7.16,4.41
2025-12-19T22:57:59,43,A190,SELL,3,7.74,23.22,27.63
2025-12-19T23:00:35,43,A120,BUY,4,3.80,15.18,12.45
2025-12-19T23:00:43,43,A140,BUY,1,10.58,10.58,1.87
2025-12-19T23:01:50,46,A200,SELL,1,25.86,25.86,27.72
2025-12-19T23:02:56,47,A140,BUY,1,9.12,9.12,18.61
2025-12-19T23:03:43,50,A160,SELL,1,6.33,6.33,24.93
2025-12-19T23:04:27,50,A130,BUY,1,12.34,12.34,12.60
2025-12-19T23:05:55,55,A120,SELL,2,4.00,8.00,20.59
2025-12-19T23:06:04,55,A180,BUY,1,14.77,14.77,5.82
2025-12-19T23:06:51,57,A130,SELL,1,14.71,14.71,20.53
2025-12-19T23:09:47,59,A180,SELL,1,17.68,17.68,38.21
2025-12-19T23:10:08,59,A140,SELL,2,11.42,22.84,61.05
2025-12-19T23:10:12,60,,BILL,1,200.00,200.00,-138.95
2025-12-19T23:11:07,74,A120,SELL,6,3.88,23.27,-115.68
2025-12-19T23:11:20,90,,BILL,1,300.00,300.00,-415.68
2025-12-19T23:11:32,120,,BILL,1,400.00,400.00,-815.68
2025-12-19T23:11:39,150,,BILL,1,500.00,500.00,-1315.68
2025-12-19T23:11:44,180,,BILL,1,600.00,600.00,-1915.68
2025-12-19T23:11:50,210,,BILL,1,700.00,700.00,-2615.68
2025-12-19T23:11:55,240,,BILL,1,800.00,800.00,-3415.68
2025-12-19T23:12:01,270,,BILL,1,900.00,900.00,-4315.68
